,Word,Frequency,percent
0,thank,517,16.065879428216284
1,great,440,13.673088875077688
2,hillary,326,10.130515848353014
3,trump,326,10.130515848353014
4,amp,240,7.458048477315103
5,people,212,6.587942821628341
6,america,200,6.215040397762586
7,clinton,187,5.811062771908017
8,cruz,185,5.748912367930392
9,new,181,5.62461155997514
10,crooked,181,5.62461155997514
11,make,163,5.065257924176507
12,get,131,4.070851460534493
13,big,127,3.946550652579242
14,ted,116,3.6047234307022995
16,tonight,111,3.449347420758235
15,like,111,3.449347420758235
17,vote,110,3.418272218769422
18,us,110,3.418272218769422
19,president,106,3.2939714108141707
20,join,105,3.2628962088253575
21,today,104,3.2318210068365447
22,many,104,3.2318210068365447
23,would,104,3.2318210068365447
24,one,101,3.1385954008701056
25,poll,96,2.983219390926041
26,never,90,2.7967681789931635
27,bad,89,2.7656929770043504
28,enjoy,88,2.7346177750155376
29,last,87,2.703542573026725
30,time,84,2.610316967060286
31,media,83,2.579241765071473
32,going,82,2.5481665630826598
33,said,80,2.4860161591050343
34,back,79,2.454940957116221
35,win,78,2.4238657551274083
36,country,78,2.4238657551274083
37,speech,77,2.3927905531385956
38,rubio,77,2.3927905531385956
39,iowa,75,2.3306401491609696
40,tomorrow,74,2.2995649471721564
41,amazing,73,2.2684897451833437
42,support,70,2.175264139216905
43,see,69,2.1441889372280922
44,much,69,2.1441889372280922
46,night,68,2.113113735239279
47,good,68,2.113113735239279
45,campaign,68,2.113113735239279
48,job,67,2.0820385332504663
49,dont,67,2.0820385332504663
50,wow,67,2.0820385332504663
51,republican,67,2.0820385332504663
52,watch,66,2.050963331261653
53,bernie,65,2.0198881292728403
54,love,65,2.0198881292728403
55,want,65,2.0198881292728403
56,donald,64,1.9888129272840271
57,interviewed,64,1.9888129272840271
58,carolina,62,1.9266625233064014
59,show,61,1.8955873213175884
60,go,60,1.8645121193287757
61,totally,60,1.8645121193287757
63,jobs,59,1.8334369173399627
62,obama,59,1.8334369173399627
