text,is_retweet,time,text_cleaned,slogans,love trumps hate,stronger together,hillary for america,i'm with her,maga,make america great again,america first,Cliton,Trump
"We believe that everyone has value.
We believe that everyone's created equal.
We believe that love trumps hate.
https://t.co/tTgeqxNqYm",False,2016-09-21T19:12:46,"['we', 'believe', 'that', 'everyone', 'has', 'value', 'we', 'believe', 'that', 'everyones', 'created', 'equal', 'we', 'believe', 'that', 'love', 'trumps', 'hate']",['love trumps hate'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"Let’s make clear that love trumps hate—not just this November, but always. https://t.co/wDxspmxT9Q",False,2016-09-19T19:03:31,"['lets', 'make', 'clear', 'that', 'love', 'trumps', 'hatenot', 'just', 'this', 'november', 'but', 'always']",['love trumps hate'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"""We deserve a president…who believes that each of us is part of the American story, and we’re always stronger together.” —@FLOTUS",False,2016-09-16T19:27:44,"['we', 'deserve', 'a', 'presidentwho', 'believes', 'that', 'each', 'of', 'us', 'is', 'part', 'of', 'the', 'american', 'story', 'and', 'were', 'always', 'stronger', 'together']",['stronger together'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
Let’s build a future where love trumps hate. https://t.co/tTgeqxNqYm,False,2016-09-16T14:05:45,"['lets', 'build', 'a', 'future', 'where', 'love', 'trumps', 'hate']",['love trumps hate'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
“She knows that love trumps hate.” —@POTUS on Hillary,False,2016-09-13T18:12:17,"['she', 'knows', 'that', 'love', 'trumps', 'hate', 'on', 'hillary']",['love trumps hate'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
We can build a future where we’re stronger together. That’s who we are as Americans. Text JOIN to 47246 to get involved.,False,2016-09-08T17:25:24,"['we', 'can', 'build', 'a', 'future', 'where', 'were', 'stronger', 'together', 'thats', 'who', 'we', 'are', 'as', 'americans', 'text', 'join', 'to', '47246', 'to', 'get', 'involved']",['stronger together'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
Stronger together. https://t.co/6qmOJ39K56,True,2016-09-06T03:36:22,"['stronger', 'together']",['stronger together'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
"We're stronger together—and the diversity of our athletes in Rio proved it.
https://t.co/YYflz51Y9Y",False,2016-08-28T19:40:35,"['were', 'stronger', 'togetherand', 'the', 'diversity', 'of', 'our', 'athletes', 'in', 'rio', 'proved', 'it']",['stronger together'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
We're live on Facebook giving a demo of our Hillary for America mobile app. Tune in to get an inside look: https://t.co/0wuPE0hMcL.,True,2016-08-07T21:56:58,"['were', 'live', 'on', 'facebook', 'giving', 'a', 'demo', 'of', 'our', 'hillary', 'for', 'america', 'mobile', 'app', 'tune', 'in', 'to', 'get', 'an', 'inside', 'look']",['hillary for america'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
Stronger Together comes out in Sept—a book on Hillary's policy plans and vision for America: https://t.co/okQWnu725t https://t.co/lzyuvRstpt,False,2016-08-05T18:29:22,"['stronger', 'together', 'comes', 'out', 'in', 'septa', 'book', 'on', 'hillarys', 'policy', 'plans', 'and', 'vision', 'for', 'america']",['stronger together'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
