,Word,Frequency,percent
0,trump,703,21.791692498450093
1,hillary,679,21.047737135771854
2,donald,414,12.833230006199628
3,president,263,8.152510849349039
4,trumps,197,6.106633601983881
5,make,181,5.610663360198388
6,us,181,5.610663360198388
7,people,179,5.548667079975202
8,america,172,5.331680099194049
9,one,168,5.207687538747676
10,families,130,4.02975821450713
11,need,121,3.75077495350279
12,americans,117,3.6267823930564167
13,clinton,115,3.56478611283323
14,would,113,3.5027898326100435
15,lets,113,3.5027898326100435
16,country,110,3.4097954122752636
17,like,109,3.3787972721636703
18,h,105,3.254804711717297
19,women,105,3.254804711717297
20,together,101,3.130812151270924
21,get,100,3.0998140111593306
22,every,98,3.037817730936144
23,cant,96,2.9758214507129574
24,vote,95,2.944823310601364
25,first,95,2.944823310601364
26,american,92,2.8518288902665843
27,new,88,2.727836329820211
28,plan,86,2.6658400495970245
29,know,84,2.603843769373838
30,hes,84,2.603843769373838
31,dont,81,2.510849349039058
32,going,81,2.510849349039058
33,campaign,80,2.4798512089274647
34,today,79,2.4488530688158714
35,time,79,2.4488530688158714
36,never,78,2.417854928704278
37,amp,77,2.386856788592685
38,live,74,2.2938623682579045
39,day,74,2.2938623682579045
40,hillarys,73,2.262864228146311
41,watch,73,2.262864228146311
42,back,72,2.231866088034718
43,work,71,2.2008679479231246
44,years,71,2.2008679479231246
45,tax,70,2.1698698078115313
46,got,69,2.138871667699938
47,take,69,2.138871667699938
48,good,68,2.1078735275883447
49,economy,68,2.1078735275883447
50,go,64,1.9838809671419715
51,say,64,1.9838809671419715
52,im,63,1.9528828270303782
53,let,63,1.9528828270303782
54,great,63,1.9528828270303782
55,thats,62,1.921884686918785
56,right,62,1.921884686918785
57,help,61,1.8908865468071916
58,sure,60,1.8598884066955983
59,want,60,1.8598884066955983
60,election,59,1.828890266584005
61,youre,59,1.828890266584005
62,pay,59,1.828890266584005
63,last,57,1.7668939863608184
64,says,57,1.7668939863608184
65,doesnt,57,1.7668939863608184
66,weve,56,1.735895846249225
67,de,56,1.735895846249225
68,better,55,1.7048977061376318
69,heres,55,1.7048977061376318
70,much,54,1.6738995660260385
71,many,54,1.6738995660260385
72,believe,53,1.6429014259144452
73,love,52,1.611903285802852
74,care,52,1.611903285802852
75,win,52,1.611903285802852
76,gun,52,1.611903285802852
77,millions,52,1.611903285802852
78,everyone,52,1.611903285802852
79,world,52,1.611903285802852
80,family,51,1.5809051456912586
81,fight,51,1.5809051456912586
82,see,51,1.5809051456912586
83,business,50,1.5499070055796653
84,candidate,50,1.5499070055796653
85,made,50,1.5499070055796653
86,violence,50,1.5499070055796653
87,isnt,49,1.518908865468072
88,woman,49,1.518908865468072
89,life,48,1.4879107253564787
90,stand,48,1.4879107253564787
91,could,48,1.4879107253564787
92,states,48,1.4879107253564787
93,united,48,1.4879107253564787
94,working,48,1.4879107253564787
95,proud,47,1.4569125852448854
96,thank,47,1.4569125852448854
97,history,47,1.4569125852448854
98,well,47,1.4569125852448854
99,kids,47,1.4569125852448854
100,things,47,1.4569125852448854
101,ever,46,1.4259144451332921
102,way,46,1.4259144451332921
103,best,46,1.4259144451332921
104,said,44,1.3639181649101055
105,rights,44,1.3639181649101055
106,next,43,1.3329200247985122
107,theres,43,1.3329200247985122
108,job,43,1.3329200247985122
109,stronger,43,1.3329200247985122
110,health,43,1.3329200247985122
111,lgbt,43,1.3329200247985122
112,keep,42,1.301921884686919
113,jobs,42,1.301921884686919
114,build,42,1.301921884686919
115,million,41,1.2709237445753256
116,still,41,1.2709237445753256
117,making,41,1.2709237445753256
118,white,41,1.2709237445753256
119,join,40,1.2399256044637323
120,la,40,1.2399256044637323
121,hate,40,1.2399256044637323
122,debt,39,1.208927464352139
123,stop,39,1.208927464352139
124,real,38,1.1779293242405457
125,man,38,1.1779293242405457
126,deserve,38,1.1779293242405457
127,everything,37,1.1469311841289522
128,tell,37,1.1469311841289522
129,ago,37,1.1469311841289522
130,always,37,1.1469311841289522
131,commanderinchief,36,1.115933044017359
132,support,36,1.115933044017359
133,fighting,36,1.115933044017359
134,wrong,36,1.115933044017359
135,give,36,1.115933044017359
136,big,35,1.0849349039057656
137,think,35,1.0849349039057656
138,child,35,1.0849349039057656
139,anyone,35,1.0849349039057656
140,thing,35,1.0849349039057656
141,home,35,1.0849349039057656
142,even,35,1.0849349039057656
143,college,35,1.0849349039057656
144,night,34,1.0539367637941723
145,ready,34,1.0539367637941723
146,matter,34,1.0539367637941723
147,en,34,1.0539367637941723
148,house,34,1.0539367637941723
149,put,33,1.022938623682579
150,wants,33,1.022938623682579
151,hard,33,1.022938623682579
152,obama,33,1.022938623682579
153,running,33,1.022938623682579
154,wall,33,1.022938623682579
155,que,33,1.022938623682579
156,foreign,33,1.022938623682579
157,tonight,32,0.9919404835709857
158,change,32,0.9919404835709857
159,week,32,0.9919404835709857
160,come,32,0.9919404835709857
161,lives,32,0.9919404835709857
162,policy,32,0.9919404835709857
163,voting,32,0.9919404835709857
164,republican,31,0.9609423434593924
165,republicans,31,0.9609423434593924
166,shes,30,0.9299442033477991
167,someone,30,0.9299442033477991
168,equal,30,0.9299442033477991
169,look,30,0.9299442033477991
170,presidential,29,0.8989460632362059
171,words,29,0.8989460632362059
172,person,29,0.8989460632362059
173,wont,29,0.8989460632362059
174,black,28,0.8679479231246126
175,justice,28,0.8679479231246126
